その月の社会保険料等控除後の給与等の金額（以上）	その月の社会保険料等控除後の給与等の金額（未満）	扶養親族等の数（０人）	扶養親族等の数（１人）	扶養親族等の数（２人）	扶養親族等の数（３人）	扶養親族等の数（４人）	扶養親族等の数（５人）	扶養親族等の数（６人）	扶養親族等の数（７人）	乙
737000	740000	70970	64640	58300	51970	45640	39300	32970	26640	236400
740000	743000	71510	65180	58840	52510	46180	39840	33510	27180	237900
743000	746000	72050	65720	59380	53050	46720	40380	34050	27720	239300
746000	749000	72590	66260	59920	53590	47260	40920	34590	28260	240800
749000	752000	73130	66800	60460	54130	47800	41460	35130	28800	242200
752000	755000	73670	67340	61000	54670	48340	42000	35670	29340	243600
755000	758000	74210	67880	61540	55210	48880	42540	36210	29880	245100
758000	761000	74750	68420	62080	55750	49420	43080	36750	30420	246500
761000	764000	75290	68960	62620	56290	49960	43620	37290	30960	248000
764000	767000	75830	69500	63160	56830	50500	44160	37830	31500	249400
767000	770000	76370	70040	63700	57370	51040	44700	38370	32040	250800
770000	773000	76910	70580	64240	57910	51580	45240	38910	32580	252300
773000	776000	77450	71120	64780	58450	52120	45780	39450	33120	253700
776000	779000	77990	71660	65320	58990	52660	46320	39990	33660	255200
779000	782000	78530	72200	65860	59530	53200	46860	40530	34200	256600
782000	785000	79070	72740	66400	60070	53740	47400	41070	34740	258000
785000	788000	79610	73280	66940	60610	54280	47940	41610	35280	259500
788000	791000	80150	73820	67480	61150	54820	48480	42150	35820	260900
791000	794000	80760	74360	68020	61690	55360	49020	42690	36360	262300
794000	797000	81390	74900	68560	62230	55900	49560	43230	36900	263800
797000	800000	82010	75440	69100	62770	56440	50100	43770	37440	265200
800000	803000	82630	75980	69640	63310	56980	50640	44310	37980	266700
803000	806000	83250	76520	70180	63850	57520	51180	44850	38520	268100
806000	809000	83870	77060	70720	64390	58060	51720	45390	39060	269500
809000	812000	84490	77600	71260	64930	58600	52260	45930	39600	271000
812000	815000	85110	78140	71800	65470	59140	52800	46470	40140	272400
815000	818000	85730	78680	72340	66010	59680	53340	47010	40680	273900
818000	821000	86350	79220	72880	66550	60220	53880	47550	41220	275300
821000	824000	86970	79760	73420	67090	60760	54420	48090	41760	276700
824000	827000	87600	80310	73960	67630	61300	54960	48630	42300	278200
827000	830000	88220	80930	74500	68170	61840	55500	49170	42840	279600
830000	833000	88840	81550	75040	68710	62380	56040	49710	43380	281100
833000	836000	89470	82190	75600	69260	62930	56600	50260	43930	282500
836000	839000	90130	82840	76170	69830	63500	57170	50830	44500	283900
839000	842000	90780	83500	76740	70400	64070	57740	51400	45070	285400
842000	845000	91440	84150	77310	70970	64640	58310	51970	45640	286800
845000	848000	92090	84810	77880	71540	65210	58880	52540	46210	288300
848000	851000	92750	85470	78450	72110	65780	59450	53110	46780	289700
851000	854000	93400	86120	79020	72680	66350	60020	53680	47350	291100
854000	857000	94060	86780	79590	73250	66920	60590	54250	47920	292600
857000	860000	94720	87430	80160	73820	67490	61160	54820	48490	294000
860000	863000	95370	88090	80800	74390	68060	61730	55390	49060	295500
863000	866000	96030	88740	81460	74960	68630	62300	55960	49630	296900
866000	869000	96680	89400	82120	75530	69200	62870	56530	50200	298300
869000	872000	97340	90050	82770	76100	69770	63440	57100	50770	299800
872000	875000	97990	90710	83430	76670	70340	64010	57670	51340	301200
